scheduler,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
PRR,5,0.374,6.27,0.374,0.6815,0.11558,0,0.0,0.9232,29.48,4,0.2,43.26,light,1
PRM,5,0.374,6.27,0.374,0.6815,0.11558,0,0.0,0.9232,29.48,4,0.2,43.26,light,1
Contextual Bandit RL,5,0.374,6.27,0.374,0.6815,0.11558,0,0.0,0.9232,29.48,4,0.2,43.26,light,1
Proposed Hybrid,5,0.374,6.27,0.374,0.6815,0.11558,0,0.0,0.9232,29.48,4,0.2,43.26,light,1
PRR,5,-0.0,4.242,0.0,0.4022,0.0948,0,0.0,1.0,21.21,4,0.2,52.74,light,2
PRM,5,-0.0,4.242,0.0,0.4022,0.0948,0,0.0,1.0,21.21,4,0.2,52.74,light,2
Contextual Bandit RL,5,-0.0,4.242,0.0,0.4022,0.0948,0,0.0,1.0,21.21,4,0.2,52.74,light,2
Proposed Hybrid,5,-0.0,4.242,0.0,0.4022,0.0948,0,0.0,1.0,21.21,4,0.2,52.74,light,2
PRR,5,0.0,4.828,0.0,0.4884,0.10115,0,0.0,1.0,24.14,4,0.2,49.43,light,3
PRM,5,0.0,4.828,0.0,0.4884,0.10115,0,0.0,1.0,24.14,4,0.2,49.43,light,3
Contextual Bandit RL,5,0.0,4.828,0.0,0.4884,0.10115,0,0.0,1.0,24.14,4,0.2,49.43,light,3
Proposed Hybrid,5,0.0,4.828,0.0,0.4884,0.10115,0,0.0,1.0,24.14,4,0.2,49.43,light,3
PRR,5,0.0,5.832,0.0,0.4788,0.0821,0,0.0,1.0,29.16,4,0.2,60.9,light,4
PRM,5,0.0,5.832,0.0,0.4788,0.0821,0,0.0,1.0,29.16,4,0.2,60.9,light,4
Contextual Bandit RL,5,0.0,5.832,0.0,0.4788,0.0821,0,0.0,1.0,29.16,4,0.2,60.9,light,4
Proposed Hybrid,5,0.0,5.832,0.0,0.4788,0.0821,0,0.0,1.0,29.16,4,0.2,60.9,light,4
PRR,5,0.0,5.328,0.0,0.41,0.07695,0,0.0,1.0,26.64,4,0.2,64.98,light,5
PRM,5,0.0,5.328,0.0,0.41,0.07695,0,0.0,1.0,26.64,4,0.2,64.98,light,5
Contextual Bandit RL,5,0.0,5.328,0.0,0.41,0.07695,0,0.0,1.0,26.64,4,0.2,64.98,light,5
Proposed Hybrid,5,0.0,5.328,0.0,0.41,0.07695,0,0.0,1.0,26.64,4,0.2,64.98,light,5
PRR,5,30.234,44.976,18.078,0.9356,0.06347,4,0.8,0.3331,110.565,9,0.45,78.78,normal,1
PRM,5,25.696,40.438,10.66,0.9356,0.06347,3,0.6,0.3859,110.565,6,0.3,78.78,normal,1
Contextual Bandit RL,5,39.796,54.538,6.494,0.9356,0.06347,5,1.0,0.8961,110.565,15,0.75,78.78,normal,1
Proposed Hybrid,5,35.302,50.044,20.27,0.9356,0.06347,4,0.8,0.8416,110.565,12,0.6,78.78,normal,1
PRR,5,8.806,19.414,5.68,0.9369,0.08832,1,0.2,0.4658,79.56,6,0.3,56.61,normal,2
PRM,5,9.13,19.738,7.566,0.9369,0.08832,1,0.2,0.6517,79.56,5,0.25,56.61,normal,2
